lokasi,latitude,longitude,curah_hujan,penggunaan lahan,jenis tanah,Kategori Curah Hujan,Labeling,geometry,jumlah_banjir,Hasil_Prediksi,Probabilitas_Prediksi
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, SARIMAHI",-7022585,107699779,2141.37,0.625,0.7142857142857142,0.75,1.0,POINT (107699779 -7022585),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, SERANGMEKAR",-7024028,107693155,2149.57,0.625,0.7142857142857142,0.75,1.0,POINT (107693155 -7024028),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, SOREANG",-7014649,107530623,2262.39,1.0,1.0,1.0,1.0,POINT (107530623 -7014649),1,1.0,0.99
"JAWA BARAT, KABUPATEN BANDUNG, CILEUNYI, CIBIRU WETAN",-6934488,107754985,2064.78,1.0,0.42857142857142855,0.25,0.0,POINT (107754985 -6934488),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG",-6985208,107632211,123.574,1.0,0.7142857142857142,0.0,0.0,POINT (107632211 -6985208),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, BOJONGSOANG, BUAHBATU",-6966242,107637977,-9.999,0.625,0.7142857142857142,0.0,0.0,POINT (107637977 -6966242),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CILEUNYI, CIBIRU WETAN",-6923064,107756897,61.576,0.0,0.5714285714285714,0.0,0.0,POINT (107756897 -6923064),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY",-7037541,107712519,2115.93,0.5,0.7142857142857142,0.5,1.0,POINT (107712519 -7037541),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, BALEENDAH, MANGGAHANG",-7026624,107642027,2213.86,0.375,0.5714285714285714,0.75,1.0,POINT (107642027 -7026624),2,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, RANCAEKEK, SANGIANG",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CITEUREUP, MARGAASIH, CIGONDEWAH HILIR",-6980664,107626354,2237.21,0.625,0.7142857142857142,1.0,1.0,POINT (107626354 -6980664),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, CIPARAY, SOREANG",-7029445,107710208,2122.43,0.625,0.7142857142857142,0.5,1.0,POINT (107710208 -7029445),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CITEUREUP, CANGKUANG WETAN, BALEENDAH, BOJONGSOANG, TEGALLUAR",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, A CANGKUANG, BOJONGSOANG, A BOJONGSOANG",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, BALEENDAH, ANDIR, BOJONGSOANG, TEGALLUAR, DAYEUHKOLOT, CITEUREUP",-7018377,107630571,2226.85,0.5,0.5714285714285714,0.75,1.0,POINT (107630571 -7018377),2,1.0,0.98
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, RANCAEKEK KULON",-696488,107755958,53.783,0.0,0.7142857142857142,0.0,0.0,POINT (107755958 -696488),5,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, DAYEUHKOLOT, CITEUREUP, BALEENDAH, ANDIR, BOJONG MALAKA, BOJONGSOANG, CIJAGRA, CIBIRU WETAN, CIMEKAR, CILEUNYI",-698644,10762411,2238.77,1.0,0.7142857142857142,1.0,1.0,POINT (10762411 -698644),12,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK",-696488,107755958,53.783,0.0,0.7142857142857142,0.0,0.0,POINT (107755958 -696488),5,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, RANCAEKEK KULON, RANCAEKEK WETAN, CILEUNYI, CILEUNYI WETAN",-696488,107755958,53.783,0.0,0.7142857142857142,0.0,0.0,POINT (107755958 -696488),5,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, PACET, PANGAUBAN KP. BABAKAN, SUKARAME KP. KAMBURAYA",-6998609,107559217,2230.55,1.0,0.7142857142857142,1.0,1.0,POINT (107559217 -6998609),1,1.0,1.0
"JAWA BARAT, KABUPATEN BANDUNG, RANCAEKEK, RANCAEKEK KULON, RANCAEKEK WETAN, BOJONGLOA",-696488,107755958,53.783,0.0,0.7142857142857142,0.0,0.0,POINT (107755958 -696488),5,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, CILEUNYI, CILEUNYI WETAN, BOJONGSOANG, TEGALLUAR, BALEENDAH, ANDIR, DAYEUHKOLOT, CITEUREUP",-6942748,10775341,2064.16,0.625,0.42857142857142855,0.25,0.0,POINT (10775341 -6942748),1,0.0,0.0
"JAWA BARAT, KABUPATEN BANDUNG, SOLOKAN JERUK, PANYADAP, DAYEUHKOLOT, BALEENDAH, ANDIR, RANCAEKEK, RANCAEKEK KULON, MAJALAYA, BOJONG, BOJONGSOANG",-7030836,107758671,2063.86,0.625,0.7142857142857142,0.25,0.0,POINT (107758671 -7030836),2,0.0,0.0
